task_id,equipment_id,equipment_name,frequency,task_activity,component_focus,description_check,,,,,,,,,,,
ai-h-1,,Air Compressor,Half-Yearly,Change lubrication oil and filter,Oil System,Complete oil and oil filter change.,,,,,,,,,,,
ai-a-1,,Air Compressor,Annually,Replace air/oil separator element,Separator System,Replace the element to maintain air quality.,,,,,,,,,,,
co-d-1,,Cooling Tower Fan,Daily,Check gearbox oil level,Gearbox,Verify the oil level is correct.,,,,,,,,,,,
co-d-2,,Cooling Tower Fan,Daily,Check for unusual fan noise,Fan Assembly,Listen for noise or excessive vibration.,,,,,,,,,,,
co-w-1,,Cooling Tower Fan,Weekly,Check belt tension,Drive System,Inspect and adjust belt tension and sheave condition.,,,,,,,,,,,
co-m-1,,Cooling Tower Fan,Monthly,Check fan blade setting angle,Fan Blades,Verify blades are set to the correct pitch/angle.,,,,,,,,,,,
co-q-1,,Cooling Tower Fan,Quarterly,Grease fan bearings,Bearings,Lubricate motor and fan shaft bearings as specified.,,,,,,,,,,,
co-h-1,,Cooling Tower Fan,Half-Yearly,Change gearbox oil,Gearbox,Drain and refill the gear reducer oil.,,,,,,,,,,,
co-a-1,,Cooling Tower Fan,Annually,Check bolted connections,Fan Structure,"Inspect tightness of bolts on fan blades, hub, and gearbox mounts.",,,,,,,,,,,
ag-d-1,,Agitator/Mixer,Daily,Check gearbox oil level,Gearbox,Verify oil level.,,,,,,,,,,,
ag-d-2,,Agitator/Mixer,Daily,Monitor motor current draw,Motor,Check amperage against nameplate/baseline.,,,,,,,,,,,
ag-w-1,,Agitator/Mixer,Weekly,Check mechanical seal housing,Mechanical Seal,Inspect for leakage indicating seal wear.,,,,,,,,,,,
ag-m-1,,Agitator/Mixer,Monthly,Check mounting bolt tightness,Foundation,Ensure motor and gearbox foundation bolts are secure.,,,,,,,,,,,
ag-q-1,,Agitator/Mixer,Quarterly,Check coupling alignment,Drive Train,Verify alignment between motor and gearbox shafts.,,,,,,,,,,,
ag-a-1,,Agitator/Mixer,Annually,Change gearbox oil,Gearbox,"Drain, clean housing, and refill with new oil.",,,,,,,,,,,
ag-a-2,,Agitator/Mixer,Annually,Inspect impeller/propeller blades,Impeller,"Check blades for cracks, corrosion, or signs of impact damage.",,,,,,,,,,,
co-d-1,,Conveyor,Daily,Check belt tracking,Conveyor Belt,Verify belt is running centered on rollers/pulleys.,,,,,,,,,,,
co-d-2,,Conveyor,Daily,Check material spillage,Belt Cleaners/Rollers,Ensure belt cleaners are functioning and material isn't piling up.,,,,,,,,,,,
co-w-1,,Conveyor,Weekly,Inspect idlers and rollers,Idlers,Check for rollers that are seized or making excessive noise.,,,,,,,,,,,
co-m-1,,Conveyor,Monthly,Check gearbox oil level,Drive System,Verify oil level in the conveyor drive gearbox.,,,,,,,,,,,
co-q-1,,Conveyor,Quarterly,Adjust belt tension,Belt System,Check and adjust the belt tensioning system (take-up).,,,,,,,,,,,
co-a-1,,Conveyor,Annually,Overhaul drive/tail pulley bearings,Pulleys,"Disassemble, clean, inspect, and re-grease/replace pulley bearings.",,,,,,,,,,,
ho-d-1,"9,59,69,79,89,91,00,100",Horizontal pump,Daily,Check for abnormal noise/vibration,Pump/Motor Assembly,Listen for rubbing/grinding; check vibration levels by hand or meter.,,,,,,,,,,,
ho-d-2,"9,59,69,79,89,91,00,100",Horizontal pump,Daily,Check bearing temperature,Bearings/Housing,Monitor temperature (hand-feel or gauge) and compare to baseline/limits.,,,,,,,,,,,
ho-d-3,"9,59,69,79,89,91,00,100",Horizontal pump,Daily,Inspect mechanical seal/packing for leaks,Seal Chamber,Observe the rate of leakage; ensure it's within acceptable limits for the seal type.,,,,,,,,,,,
ho-d-4,"9,59,69,79,89,91,00,100",Horizontal pump,Daily,Check lubrication oil level (if applicable),Bearing Housing (Oil),Verify oil level is at the sight glass midpoint or specified mark.,,,,,,,,,,,
ho-w-1,"9,59,69,79,89,91,00,100",Horizontal pump,Weekly,Check coupling security,Coupling,Visually inspect all coupling bolts for tightness.,,,,,,,,,,,
ho-w-2,"9,59,69,79,89,91,00,100",Horizontal pump,Weekly,Clean pump/motor exterior,Exterior Surfaces,"Wipe down surfaces, remove debris, and ensure cooling fins are clear.",,,,,,,,,,,
ho-m-1,"9,59,69,79,89,91,00,100",Horizontal pump,Monthly,Top up grease in re-greasable bearings,Bearings,Apply the manufacturer-specified amount of grease to motor and pump bearings.,,,,,,,,,,,
ho-m-2,"9,59,69,79,89,91,00,100",Horizontal pump,Monthly,Check foundation bolt tightness,Baseplate/Base,Verify all anchor bolts holding the motor and pump base are tight.,,,,,,,,,,,
ho-m-3,"9,59,69,79,89,91,00,100",Horizontal pump,Monthly,Check discharge/suction pressure,Piping/Gauges,Record operating pressure readings and compare against normal operating range.,,,,,,,,,,,
ho-q-1,"9,59,69,79,89,91,00,100",Horizontal pump,Quarterly,Perform detailed vibration analysis,Pump/Motor Assembly,"Conduct a detailed analysis to diagnose issues (unbalance, misalignment, bearing defects).",,,,,,,,,,,
ho-q-2,"9,59,69,79,89,91,00,100",Horizontal pump,Quarterly,Check and correct coupling alignment,Coupling,Use laser/dial indicators to verify pump and motor shaft alignment.,,,,,,,,,,,
ho-q-3,"9,59,69,79,89,91,00,100",Horizontal pump,Quarterly,Change bearing lubrication oil,Bearing Housing (Oil),"Drain old oil, inspect drained oil for contamination, and refill with new specified oil.",,,,,,,,,,,
ho-h-1,"9,59,69,79,89,91,00,100",Horizontal pump,Half-Yearly,Check for shaft/bearing play,Shaft Bearings,Measure axial and radial shaft clearance (play).,,,,,,,,,,,
ho-h-2,"9,59,69,79,89,91,00,100",Horizontal pump,Half-Yearly,Inspect seal faces/gaskets,Mechanical Seal/Gaskets,"If accessible (via a short shutdown), inspect seal faces for scoring or seats for pitting.",,,,,,,,,,,
ho-a-1,"9,59,69,79,89,91,00,100",Horizontal pump,Annually,Complete pump disassembly/internal inspection,"Casing, Impeller, Shaft","Shut down, remove rotating assembly, and inspect for erosion, corrosion, or cavitation damage.",,,,,,,,,,,
ho-a-2,"9,59,69,79,89,91,00,100",Horizontal pump,Annually,Inspect shaft sleeve condition,Shaft Sleeve,"Check for wear marks, pitting, or corrosion, especially near seal areas.",,,,,,,,,,,
ho-a-3,"9,59,69,79,89,91,00,100",Horizontal pump,Annually,Perform performance test,Pump System,Measure flow rate (Q) and head (H) to calculate efficiency.,,,,,,,,,,,
ho-o-1,"9,59,69,79,89,91,00,100",Horizontal pump,On Breakdown,Root Cause Analysis (RCA),Entire Unit,"Investigate the exact cause of failure (e.g., seal failure due to dry run, bearing failure due to contamination).",,,,,,,,,,,
ho-o-2,"9,59,69,79,89,91,00,100",Horizontal pump,On Breakdown,Replace primary failed components,Damaged Parts,"Replace seal, bearings, or shaft, ensuring all new parts meet OEM specs.",,,,,,,,,,,
ho-o-3,"9,59,69,79,89,91,00,100",Horizontal pump,On Breakdown,Re-align and re-commission,Pump/Motor,"Reinstall components, perform final alignment check, and run a monitored start-up test.",,,,,,,,,,,
ra-d-1,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,77",RALF,Daily,Check for material leakage,Seals and Housing,"Inspect seals (shaft, flange) for excessive product dusting or spillage.",,,,,,,,,,,
ra-d-2,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,78",RALF,Daily,Check for abnormal noise/vibration,Gearbox/Bearings,Listen for grinding or knocking sounds; check vibration levels.,,,,,,,,,,,
ra-d-3,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,79",RALF,Daily,Check gearbox oil level,Gearbox,Verify the lubrication oil level is correct via the sight glass.,,,,,,,,,,,
ra-w-1,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,80",RALF,Weekly,Check motor current draw,Motor,Record amperage and compare against baseline or nameplate rating.,,,,,,,,,,,
ra-w-2,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,81",RALF,Weekly,Inspect chain/belt drive tension,Drive System,Check tension of the chain or V-belts (if applicable).,,,,,,,,,,,
ra-w-3,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,82",RALF,Weekly,Inspect and clean exterior,Housing,Remove product buildup and dust from the feeder and motor body.,,,,,,,,,,,
ra-m-1,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,83",RALF,Monthly,Check coupling alignment,Coupling,Inspect coupling guard for rubbing; visually check coupling bolts.,,,,,,,,,,,
ra-m-2,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,84",RALF,Monthly,Check rotor clearance,Rotor/Housing,"If inspection ports are available, check for material dragging or contact.",,,,,,,,,,,
ra-q-1,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,85",RALF,Quarterly,Change gearbox lubrication oil,Gearbox,"Drain old oil completely and refill with the correct, specified oil grade.",,,,,,,,,,,
ra-q-2,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,86",RALF,Quarterly,Grease bearings (if applicable),Bearings,Apply the specified amount and type of grease to accessible bearings.,,,,,,,,,,,
ra-q-3,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,87",RALF,Quarterly,Check flange/housing bolt tightness,Flanges/Housing,Torque check the bolts securing the housing and end plates.,,,,,,,,,,,
ra-h-1,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,88",RALF,Half-Yearly,Inspect air purge system,Air Purge/Vents,Verify that the air purge system (if equipped) is maintaining positive pressure at the seals.,,,,,,,,,,,
ra-a-1,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,89",RALF,Annually,Feeder Disassembly and Overhaul,All Internal Parts,"Disassemble the unit to inspect the rotor vanes, housing interior, and end plates.",,,,,,,,,,,
ra-a-2,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,90",RALF,Annually,Inspect and replace worn rotor tips,Rotor Vanes,Replace flexible or adjustable rotor tips/vanes if wear exceeds tolerance.,,,,,,,,,,,
ra-a-3,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,91",RALF,Annually,Inspect shaft seals,Shaft Seals,"Replace or service the shaft seals (e.g., packing or lip seals).",,,,,,,,,,,
ra-o-1,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,92",RALF,On Breakdown,Clear jam and inspect damage,Rotor/Inlet,Safely isolate and clear blockages; inspect for damage caused by foreign objects.,,,,,,,,,,,
ra-o-2,"1,2,3,4,11,12,13,14,17,18,19,28,29,30,31,49,50,51,52,57,58,59,60,63,64,65,74,75,76,93",RALF,On Breakdown,Rotor Tip/Vane Replacement,Rotor,Replace damaged or sheared vanes/tips.,,,,,,,,,,,
dc-d-1,"7,8,9,10,53,54,55,56,61,62",DCF,Daily,Check for abnormal noise and vibration,Drive Unit/Chain,"Listen for grinding, clicking, or excessive rattling indicating chain tension or wear issues.",,,,,,,,,,,
dc-d-2,"7,8,9,10,53,54,55,56,61,63",DCF,Daily,Inspect chain tension and wear,Chain and Sprockets,Visually check chain sag and measure wear at a consistent point.,,,,,,,,,,,
dc-d-3,"7,8,9,10,53,54,55,56,61,64",DCF,Daily,Inspect material flow and leakage,Inlet/Discharge/Casing,Observe the consistency of material flow and check for excessive dust or leakage from seals.,,,,,,,,,,,
dc-w-1,"7,8,9,10,53,54,55,56,61,65",DCF,Weekly,Inspect wear strips/liners,Casing Interior,Check the condition of the bottom and side wear liners for deep scoring or exposure of the casing.,,,,,,,,,,,
dc-w-2,"7,8,9,10,53,54,55,56,61,66",DCF,Weekly,Clean exterior and remove material buildup,Casing/Drive,"Remove any piled-up material from the casing, particularly near the drive and tail sections.",,,,,,,,,,,
dc-m-1,"7,8,9,10,53,54,55,56,61,67",DCF,Monthly,Check gearbox oil level,Gearbox,Verify the oil level is correct via the sight glass.,,,,,,,,,,,
dc-m-2,"7,8,9,10,53,54,55,56,61,68",DCF,Monthly,Inspect coupling alignment,Coupling,Check the motor-to-gearbox coupling for wear or misalignment.,,,,,,,,,,,
dc-m-3,"7,8,9,10,53,54,55,56,61,69",DCF,Monthly,Check and tighten all bolted connections,Entire Structure,"Torque check bolts on the gearbox, motor mount, and casing flanges.",,,,,,,,,,,
dc-q-1,"7,8,9,10,53,54,55,56,61,70",DCF,Quarterly,Change gearbox lubrication oil,Gearbox,"Drain old oil completely and refill with the correct, specified oil grade.",,,,,,,,,,,
dc-q-2,"7,8,9,10,53,54,55,56,61,71",DCF,Quarterly,Inspect condition of flights/paddles,Chain Flights,"Check the drag chain flights for bends, breakage, or excessive wear against the casing.",,,,,,,,,,,
dc-h-1,"7,8,9,10,53,54,55,56,61,72",DCF,Half-Yearly,Grease bearings (if applicable),Bearings (Head/Tail Shaft),Apply the specified amount and type of grease to accessible bearings.,,,,,,,,,,,
dc-a-1,"7,8,9,10,53,54,55,56,61,73",DCF,Annually,Overhaul and inspect tail and head shaft assemblies,Shafts/Bearings/Sprockets,"Disassemble and inspect bearings, shaft runout, and sprocket tooth wear.",,,,,,,,,,,
dc-a-2,"7,8,9,10,53,54,55,56,61,74",DCF,Annually,Complete chain length measurement,Chain,Perform a comprehensive measurement of the entire chain length for stretch/elongation.,,,,,,,,,,,
dc-o-1,"7,8,9,10,53,54,55,56,61,75",DCF,On Breakdown,Clear jam and inspect component integrity,Entire Feeder,"Safely isolate and remove jammed material; inspect flights, chain, and sprockets for damage.",,,,,,,,,,,
dc-o-2,"7,8,9,10,53,54,55,56,61,76",DCF,On Breakdown,Replace broken chain components,Chain/Flights,"Replace any broken links, pins, or flights.",,,,,,,,,,,
do-d-1,"20,21,66,67",Dosing Pump,Daily,Check for external leaks,Head/Piping/Valves,"Visually inspect the pump head, tubing, injection points, and connections for any signs of chemical seepage.",,,,,,,,,,,
do-d-2,"20,21,66,68",Dosing Pump,Daily,Verify flow rate and pressure,Dosing Rate/Gauges,Confirm the pump's output and pressure are stable and match the required dosage setting.,,,,,,,,,,,
do-d-3,"20,21,66,69",Dosing Pump,Daily,Check oil level (if applicable),Gearbox/Housing,Verify the oil level is correct via the sight glass (for hydraulically actuated pumps).,,,,,,,,,,,
do-w-1,"20,21,66,70",Dosing Pump,Weekly,Inspect and clean chemical strainer/foot valve,Suction Line,Check the strainer for blockages and ensure the foot valve seats correctly.,,,,,,,,,,,
do-w-2,"20,21,66,71",Dosing Pump,Weekly,Check discharge tubing condition,Discharge Line,"Inspect tubing for brittleness, cracking, or signs of chemical attack.",,,,,,,,,,,
do-m-1,"20,21,66,72",Dosing Pump,Monthly,Check for coupling wear,Drive Coupling,Inspect the coupling (if external) for any signs of wear or misalignment.,,,,,,,,,,,
do-m-2,"20,21,66,73",Dosing Pump,Monthly,Torque check mounting bolts,Base/Mount,Check and tighten all bolts securing the pump to its base or skid.,,,,,,,,,,,
do-q-1,"20,21,66,74",Dosing Pump,Quarterly,Calibrate the stroke length/rate,Dosing Controls,Verify the stroke setting corresponds accurately to the actual measured output volume.,,,,,,,,,,,
do-q-2,"20,21,66,75",Dosing Pump,Quarterly,Change or top up gear oil,Gearbox/Housing,Drain and refill the oil (or top up) with the specified grade.,,,,,,,,,,,
do-h-1,"20,21,66,76",Dosing Pump,Half-Yearly,Inspect/replace check valves,Suction/Discharge Valves,Disassemble and clean or replace the spring and ball/seat assemblies.,,,,,,,,,,,
do-h-2,"20,21,66,77",Dosing Pump,Half-Yearly,Inspect diaphragm/plunger condition,Pump Head,"Inspect the diaphragm for ballooning, cracks, or signs of chemical degradation.",,,,,,,,,,,
do-a-1,"20,21,66,78",Dosing Pump,Annually,Complete pump head overhaul,Pump Head,"Disassemble the liquid end completely, clean all parts, and replace all soft goods (O-rings, gaskets, packing).",,,,,,,,,,,
do-a-2,"20,21,66,79",Dosing Pump,Annually,Inspect internal gear mechanism,Gearbox,Check for excessive backlash or wear on gear teeth and linkages.,,,,,,,,,,,
do-o-1,"20,21,66,80",Dosing Pump,On Breakdown,Chemical leak containment,Pump and Area,Safely isolate and contain the chemical leak according to site safety protocol.,,,,,,,,,,,
do-o-2,"20,21,66,81",Dosing Pump,On Breakdown,Diaphragm/Plunger replacement,Pump Head,"Replace the diaphragm or plunger assembly, along with all associated seals and O-rings.",,,,,,,,,,,
id-d-1,"22,23,68,69",ID Fan,Daily,Check for abnormal noise and vibration,Fan/Motor Assembly,Listen for grinding or bearing noise; check vibration levels (hand-feel or meter).,,,,,,,,,,,
id-d-2,"22,23,68,70",ID Fan,Daily,Monitor bearing temperature,Bearings/Housing,Check temperature gauges or use an infrared thermometer.,,,,,,,,,,,
id-d-3,"22,23,68,71",ID Fan,Daily,Check belt/coupling guard security,Safety Guards,Ensure all guards are securely in place and not rubbing.,,,,,,,,,,,
id-w-1,"22,23,68,72",ID Fan,Weekly,Check belt tension and wear (if applicable),Belt Drive,Inspect V-belts for cracks and ensure tension is within the specified range.,,,,,,,,,,,
id-w-2,"22,23,68,73",ID Fan,Weekly,Inspect and clean exterior,Fan Housing/Motor,Remove accumulated dust and debris from the motor and fan casing.,,,,,,,,,,,
id-m-1,"22,23,68,74",ID Fan,Monthly,Check foundation bolt tightness,Baseplate,"Torque check all mounting bolts for the fan, motor, and pedestals.",,,,,,,,,,,
id-m-2,"22,23,68,75",ID Fan,Monthly,Grease accessible bearings,Bearings (Motor/Fan),Apply the specified amount and type of grease to accessible motor and fan bearings.,,,,,,,,,,,
id-q-1,"22,23,68,76",ID Fan,Quarterly,Perform detailed vibration analysis,Fan/Impeller/Bearings,"Conduct a spectral analysis to diagnose unbalance, misalignment, or bearing defects.",,,,,,,,,,,
id-q-2,"22,23,68,77",ID Fan,Quarterly,Check and correct shaft alignment,Coupling/Pillow Block,Use laser/dial indicators to verify alignment between the motor and fan shafts.,,,,,,,,,,,
id-q-3,"22,23,68,78",ID Fan,Quarterly,Inspect V-belt/sheave wear (if applicable),Belt Drive,Check sheaves/pulleys for groove wear and buildup.,,,,,,,,,,,
id-h-1,"22,23,68,79",ID Fan,Half-Yearly,Check fan blade/impeller cleanliness,Impeller/Blades,"Inspect the blades for material buildup, erosion, or corrosion.",,,,,,,,,,,
id-h-2,"22,23,68,80",ID Fan,Half-Yearly,Inspect inlet/outlet dampers/louvers,Controls,Check linkages and actuators for free movement and tightness.,,,,,,,,,,,
id-a-1,"22,23,68,81",ID Fan,Annually,Complete fan overhaul/internal inspection,Bearings/Shaft/Housing,"Inspect the fan shaft, housing interior, and scroll for structural damage or significant wear.",,,,,,,,,,,
id-a-2,"22,23,68,82",ID Fan,Annually,Inspect and lubricate bearing assemblies,Bearings,Change oil (if applicable) or thoroughly inspect bearing condition.,,,,,,,,,,,
id-a-3,"22,23,68,83",ID Fan,Annually,Perform dynamic balancing,Fan Impeller,Balance the fan wheel in place after cleaning or internal maintenance.,,,,,,,,,,,
id-o-1,"22,23,68,84",ID Fan,On Breakdown,Root Cause Analysis (RCA),Entire Unit,"Investigate the cause of failure (e.g., failed bearing due to contamination, blade fracture).",,,,,,,,,,,
id-o-2,"22,23,68,85",ID Fan,On Breakdown,Replace impeller or major components,Impeller/Shaft,"Replace the damaged impeller, shaft, or housing section.",,,,,,,,,,,
pa-d-1,"24,25,70,71",PA Fan,Daily,Monitor bearing temperature,Bearings/Housing,Check bearing oil/metal temperature (RTDs or gauges) and compare to baseline/limits.,,,,,,,,,,,
pa-d-2,"24,25,70,72",PA Fan,Daily,Monitor vibration levels,Fan/Motor Assembly,Check overall vibration levels and compare to alarm limits.,,,,,,,,,,,
pa-d-3,"24,25,70,73",PA Fan,Daily,Check oil level and condition,Bearing Oil Sump,"Verify oil level is correct; check for leaks, froth, or discoloration.",,,,,,,,,,,
pa-d-4,"24,25,70,74",PA Fan,Daily,Check bearing cooling water flow,Oil Cooler/Bearings,Verify flow rate and temperature differential across the oil cooler.,,,,,,,,,,,
pa-w-1,"24,25,70,75",PA Fan,Weekly,Inspect coupling security,Coupling/Guard,Visually check coupling bolts for tightness and inspect the coupling guard.,,,,,,,,,,,
pa-w-2,"24,25,70,76",PA Fan,Weekly,Check and clean exterior,Fan Housing/Drives,Remove any accumulated coal dust or debris from the fan casing and motor body.,,,,,,,,,,,
pa-m-1,"24,25,70,77",PA Fan,Monthly,Check foundation bolt tightness,Baseplate,"Torque check all anchor and mounting bolts for the fan, motor, and pedestals.",,,,,,,,,,,
pa-m-2,"24,25,70,78",PA Fan,Monthly,Monitor oil pressure (if forced lubrication),Oil System,Verify the oil pump pressure is stable and within the operating range.,,,,,,,,,,,
pa-q-1,"24,25,70,79",PA Fan,Quarterly,Perform detailed vibration analysis,Impeller/Bearings,"Conduct a spectral analysis to diagnose unbalance, misalignment, or bearing wear.",,,,,,,,,,,
pa-q-2,"24,25,70,80",PA Fan,Quarterly,Inspect V-belt/sheave wear (if applicable),Belt Drive,"Check belts for cracks, tension, and check sheaves/pulleys for groove wear.",,,,,,,,,,,
pa-h-1,"24,25,70,81",PA Fan,Half-Yearly,Check fan blade/impeller wear,Impeller/Blades,"Shut down and physically inspect the blades for erosion, pitting, or material buildup.",,,,,,,,,,,
pa-h-2,"24,25,70,82",PA Fan,Half-Yearly,Inspect damper/guide vane linkages,Inlet/Outlet Dampers,"Check all linkages, pins, and actuators for free movement and lubricant.",,,,,,,,,,,
pa-a-1,"24,25,70,83",PA Fan,Annually,Check and correct shaft alignment,Coupling,Use laser or dial indicators to verify and correct alignment between the motor and fan shafts.,,,,,,,,,,,
pa-a-2,"24,25,70,84",PA Fan,Annually,Complete fan overhaul/internal inspection,Bearings/Shaft/Casing,"Major shutdown inspection of internal components, including casing wear liners.",,,,,,,,,,,
pa-a-3,"24,25,70,85",PA Fan,Annually,Perform dynamic balancing,Fan Impeller,"Balance the fan wheel in place after any cleaning, repair, or internal inspection.",,,,,,,,,,,
pa-o-1,"24,25,70,86",PA Fan,On Breakdown,Impeller or Shaft Repair/Replacement,Impeller/Shaft,Replace or repair the damaged component.,,,,,,,,,,,
pa-o-2,"24,25,70,87",PA Fan,On Breakdown,Root Cause Analysis (RCA),Entire Unit,"Investigate the cause of failure (e.g., failed bearing due to inadequate cooling, high vibration overload).",,,,,,,,,,,
sa-d-1,"26,27,73,73",SA Fan,Daily,Monitor bearing temperature,Bearings/Housing,Check bearing oil/metal temperature (RTDs or gauges) and compare to baseline/limits.,,,,,,,,,,,
sa-d-2,"26,27,73,74",SA Fan,Daily,Monitor vibration levels,Fan/Motor Assembly,Check overall vibration levels and compare to alarm limits.,,,,,,,,,,,
sa-d-3,"26,27,73,75",SA Fan,Daily,Check oil level and condition,Bearing Oil Sump,"Verify oil level is correct; check for leaks, froth, or discoloration.",,,,,,,,,,,
sa-d-4,"26,27,73,76",SA Fan,Daily,Check bearing cooling water flow,Oil Cooler/Bearings,Verify flow rate and temperature differential across the oil cooler.,,,,,,,,,,,
sa-w-1,"26,27,73,77",SA Fan,Weekly,Inspect coupling security,Coupling/Guard,Visually check coupling bolts for tightness and inspect the coupling guard.,,,,,,,,,,,
